ts,machine_id,detailed_state_code,state_tag,reason_code,is_planned_stop,idle_reason
2026-03-01 06:00:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 06:06:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 06:10:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 06:11:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 06:13:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 06:17:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 06:30:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 06:35:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 06:38:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 06:48:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 06:50:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 06:51:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 07:03:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 07:06:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 07:10:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 07:19:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 07:20:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 07:23:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 07:31:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 07:33:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 07:36:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 07:37:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 07:39:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 07:53:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 07:54:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 08:07:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 08:09:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 08:10:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 08:14:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 08:24:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 08:26:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 08:39:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 08:42:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 08:44:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 08:54:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 08:56:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 09:04:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 09:05:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 09:08:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 09:09:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 09:12:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 09:21:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 09:22:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 09:34:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 09:35:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 09:42:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 09:43:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 09:57:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 09:59:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 10:00:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 10:03:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 10:05:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 10:17:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 10:19:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 10:29:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 10:31:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 10:33:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 10:41:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 10:43:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 10:55:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 10:58:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 11:08:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 11:11:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 11:21:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 11:26:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 11:36:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 11:39:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 11:47:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 11:49:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 11:57:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 11:59:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 12:01:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 12:03:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 12:11:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 12:13:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 12:20:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 12:25:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 12:35:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 12:37:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 12:39:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 12:51:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 12:54:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 13:05:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 13:06:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 13:09:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 13:15:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 13:17:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 13:29:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 13:31:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 13:39:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 13:41:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 13:44:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 13:54:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 13:56:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 14:03:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 14:05:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 14:16:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 14:18:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 14:20:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 14:29:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 14:31:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 14:45:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 14:46:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 14:50:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 14:58:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 15:00:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 15:06:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 15:08:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 15:11:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 15:22:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 15:26:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 15:35:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 15:37:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 15:41:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 15:52:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 15:54:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 16:07:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 16:09:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 16:22:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 16:24:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 16:32:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 16:36:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 16:43:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 16:45:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 16:54:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 16:58:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 17:11:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 17:13:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 17:15:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 17:28:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 17:33:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 17:36:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 17:38:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 17:42:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 17:49:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 17:53:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 18:03:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 18:04:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 18:12:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 18:13:00+00:00,DMU50_001,FAILURE,nem termelő és áll,E101,False,
2026-03-01 18:16:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 18:28:00+00:00,DMU50_001,IDLE,nem termelő,,False,simple_waiting
2026-03-01 18:30:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 18:31:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 18:44:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 18:45:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 18:53:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
2026-03-01 18:55:00+00:00,DMU50_001,RUN,termelő,,False,
2026-03-01 19:08:00+00:00,DMU50_001,MICRO_STOP,nem termelő,,False,
